,cc,data_id,iso,event_id_cnty,event_id_no_cnty,event_date,date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3,Cons,BokoHaram,is_urban
972,366940,4876780,566,NIG6087,6087,29/06/2014,41819,2014,1,Violence against civilians,Attack,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),,7,37,Western Africa,Nigeria,Borno,Chibok,,Chibok,10.8658,12.847000000000001,2,Associated Press,International,"Suspected Boko Haram attacks Kautikari, Ngurojina and Karagau (are all within 10 kilometres (six miles) of Chibok, gunning down villagers and burning down homes. The perpetrators attacked Kautikari following an attack on Kwada. Some reports have the death total between the two towns at 50, others at 100.",50,1552577413,NGA,80558,1,False
973,366941,4876781,566,NIG6092,6092,29/06/2014,41819,2014,1,Violence against civilians,Attack,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),,7,37,Western Africa,Nigeria,Borno,Biu,,Chibakur,10.7376,12.2511,1,Vanguard (Lagos),Subnational,"Suspected Boko Haram attacked Chikwarkir, shooting sporadically and burning houses. One death reported.",1,1552577413,NGA,80559,1,False
974,366901,4876735,566,NIG6093,6093,30/06/2014,41820,2014,1,Violence against civilians,Attack,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),,7,37,Western Africa,Nigeria,Bauchi,Ningi,,Bigi,10.8099,9.2265,1,Nigeria Guardian,National,"No fewer than two persons have been reported killed, churches and houses burnt in a fresh attack by suspected Boko Haram in Bigi village, a suburb of Bauchi metropolis. The village whose inhabitants are predominantly Christians was attacked Monday [30 June] at midnight. Witnesses said that the suspected militant arrived the area in a convoy of motorcycles and were in possesion of dangerous weapons including guns and matches.",2,1552577413,NGA,80525,1,False
975,366770,4876615,566,NIG6098,6098,1/07/2014,41821,2014,1,Battles,Armed clash,Police Forces of Nigeria (1999-2015),,1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Borno,Shani,Shani,Shani,10.2167,12.05,1,Nigerian Tribune,National,"Gunmen suspected to be members of the Boko Haram sect, attacked and razed the police station in Shani, the headquarters of Shani Local Government Area of Borno State and made away with a patrol vehicle of the station, as well as other armaments. The resident said the gunmen did not attack any place apart from the police station, adding that people fled into the bush for fear of attack. No loss of life reported.",0,1552577413,NGA,80434,1,False
976,366771,4876674,566,NIG6102,6102,1/07/2014,41821,2014,1,Explosions/Remote violence,Remote explosive/landmine/IED,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),,7,37,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,Leadership (Abuja),Subnational,"An explosive rocks a Maiduguri market at 8:20am. 56 dead, 68 injured. Authorities blame Boko Haram.",56,1552577413,NGA,80435,1,True
978,366596,4876425,566,NIG6115,6115,4/07/2014,41824,2014,1,Explosions/Remote violence,Suicide bomb,Civilian JTF: Civilian Joint Task Force,,3,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,33,Western Africa,Nigeria,Borno,Konduga,,Konduga,11.6558,13.4213,2,Vanguard (Lagos),Subnational,"Two suicide bombers suspected to be member of the Boko Haram sect in a golf saloon Volkswagen car laden with Improvised Explosive Device, IEDs rammed into a security checkpoints in Konduga Local Government Area of Borno state killing 5 members of vigilante youth popularly known as civilian JTF. The two suicide bombers are among the counted dead.",7,1552577413,NGA,80306,1,True
977,366588,4876390,566,NIG6118,6118,4/07/2014,41824,2014,1,Violence against civilians,Attack,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),,7,37,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,Vanguard (Lagos),Subnational,No fewer than 15 passengers including motorists were killed when some gunmen suspected to be members of Boko Haram laid ambush along Maiduguri -Mafa- Dikwa Road yesterday at about 2:30pm.,15,1552577413,NGA,80301,1,True
979,366485,4876325,566,NIG6122,6122,5/07/2014,41825,2014,1,Battles,Government regains territory,Military Forces of Nigeria (1999-2015),,1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Borno,Gwoza,Wala Waraba,Sambisa Forest Reserve,11.25,13.4167,2,This Day (Lagos),Subnational,"Nigerian military in its latest offensive against Boko Haram Islamic Sect has cleared and taken over Balmo forest (a portion of Sambisa, including Banki and Miyanti) in an operation that lasted throughout the weekend (2 days, presumably). Six soldiers and 44 Boko Haram fighters reportedly killed in the Kerenoa, Banki and Miyanti areas.",16,1552577413,NGA,80234,1,False
980,366486,4876327,566,NIG6119,6119,5/07/2014,41825,2014,2,Battles,Armed clash,Military Forces of Nigeria (1999-2015),,1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Borno,Bama,Banki,Banki,11.6621,14.0201,1,Xinhua,International,"Nigerian military in its latest offensive against Boko Haram Islamic Sect has cleared and taken over Balmo forest (a portion of Sambisa, including Banki and Miyanti) in an operation that lasted throughout the weekend. Six soldiers and 44 Boko Haram fighters reportedly killed in the Kerenoa, Banki and Miyanti areas.",16,1552577413,NGA,80235,1,False
981,366422,4876261,566,NIG6123,6123,6/07/2014,41826,2014,1,Battles,Armed clash,Military Forces of Nigeria (1999-2015),Police Forces of Nigeria (1999-2015),1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Western Africa,Nigeria,Borno,Marte,Kirinowa,Kirinowa,12.4238,13.9248,1,Agence France Presse,International,"Suspected Boko Haram disguised in army uniforms killed seven people in an attack near the northeastern border with Cameroon. The gunmen, five of whom were also killed, razed a police station, a military camp and other bulidings.",12,1552577413,NGA,80190,1,False
